2019-09-06 15:08:49 --> appraisal_template --> insert --> section_type_id -->  --> 6
2019-09-06 15:08:49 --> appraisal_template --> insert --> header -->  --> <p>test</p>
2019-09-06 15:08:49 --> appraisal_template --> insert --> footer -->  --> <p>test</p>
2019-09-06 15:32:41 --> appraisal_template --> insert --> template_id -->  --> 2
2019-09-06 15:32:41 --> appraisal_template --> insert --> template_section -->  --> Discipline to Self
2019-09-06 15:32:41 --> appraisal_template --> insert --> sequence -->  --> 6
2019-09-06 15:32:41 --> appraisal_template --> insert --> weight -->  --> 20
2019-09-06 15:32:41 --> appraisal_template --> insert --> section_type_id -->  --> 6
2019-09-06 15:32:41 --> appraisal_template --> insert --> header -->  --> <p>test</p>
2019-09-06 15:32:41 --> appraisal_template --> insert --> footer -->  --> <p>test</p>
2019-09-06 15:33:21 --> appraisal_template --> insert --> template -->  --> PAR_R&F
2019-09-06 15:33:21 --> appraisal_template --> insert --> template_code -->  --> PAR_003
2019-09-06 15:33:21 --> appraisal_template --> insert --> applicable_to_id -->  --> 1
2019-09-06 15:33:21 --> appraisal_template --> insert --> applicable_to -->  --> 6
2019-09-06 15:33:21 --> appraisal_template --> insert --> description -->  --> Test PAR for R&F
2019-09-06 15:33:57 --> appraisal_template --> insert --> template_id -->  --> 3
2019-09-06 15:33:57 --> appraisal_template --> insert --> template_section -->  --> Job Knowledge
2019-09-06 15:33:57 --> appraisal_template --> insert --> sequence -->  --> 1
2019-09-06 15:33:57 --> appraisal_template --> insert --> weight -->  --> 40
2019-09-06 15:33:57 --> appraisal_template --> insert --> section_type_id -->  --> 6
2019-09-06 15:33:57 --> appraisal_template --> insert --> header -->  --> <p>test</p>
2019-09-06 15:33:57 --> appraisal_template --> insert --> footer -->  --> <p>test</p>
2019-09-06 15:34:26 --> appraisal_template --> insert --> template_id -->  --> 3
2019-09-06 15:34:26 --> appraisal_template --> insert --> template_section -->  --> Contribution to Group
2019-09-06 15:34:26 --> appraisal_template --> insert --> sequence -->  --> 2
2019-09-06 15:34:26 --> appraisal_template --> insert --> weight -->  --> 30
2019-09-06 15:34:26 --> appraisal_template --> insert --> section_type_id -->  --> 6
2019-09-06 15:34:26 --> appraisal_template --> insert --> header -->  --> <p>test</p>
2019-09-06 15:34:26 --> appraisal_template --> insert --> footer -->  --> <p>test</p>
2019-09-06 15:35:25 --> appraisal_template --> insert --> template_id -->  --> 3
2019-09-06 15:35:25 --> appraisal_template --> insert --> template_section -->  --> Discipline to Self
2019-09-06 15:35:25 --> appraisal_template --> insert --> sequence -->  --> 3
2019-09-06 15:35:25 --> appraisal_template --> insert --> weight -->  --> 30
2019-09-06 15:35:25 --> appraisal_template --> insert --> section_type_id -->  --> 6
2019-09-06 15:35:25 --> appraisal_template --> insert --> header -->  --> <p>test</p>
2019-09-06 15:35:25 --> appraisal_template --> insert --> footer -->  --> <p>test</p>
2019-09-06 15:45:45 --> performance_planning_manage --> update --> template_id -->  --> 3
